Belgium	5956,60	6270,80	5793,60	5834,40	6093,50	6195,10	6625,60	6418,70	7031,60	7420,80	8132,00	8398,00	9277,50	9645,40	9274,30	9542,40	9415,70	
Germany (until 1990 former territory of the FRG)	48750,00	48728,00	49164,00	48396,00	47017,00	44153,00	43419,00	47779,00	48632,00	52759,00	57948,00	59467,00	61514,00	62042,00	63437,00	63396,00	65647,00	
Ireland	2891,40	3770,90	5104,50	5672,40	5266,40	5426,00	5943,80	6928,60	9094,80	9717,00	6240,20	5563,70	4137,90	3566,20	3301,50	4002,00	3903,50	
Greece	7604,50	7224,30	9045,00	8011,00	10636,00	11025,00	8811,00	12482,00	11286,00	13514,00	13562,00	8332,00	5069,00	4790,00	6188,00	6527,00	6747,00	
Spain	22702,00	23716,00	26316,00	30283,00	33056,00	34130,00	38862,00	43599,00	49467,00	51496,00	55142,00	50693,00	39638,00	25876,00	22753,00	21889,00	26545,00	
France	53244,70	58229,10	59250,70	59871,10	63648,30	67609,80	70883,80	72654,10	76616,70	78640,90	82439,00	82936,00	81591,00	84537,00	84295,00	79380,00	75330,00	
Italy	34360,00	35327,00	37697,00	31858,00	41828,00	43792,00	44709,00	45473,00	46794,00	48599,00	54229,00	46791,00	45288,00	41306,00	38439,00	36871,00	37256,00	
Luxembourg	895,50	888,00	1045,60	1182,60	1329,40	1326,40	1495,50	1128,30	1322,60	1401,10	1634,30	1894,20	1780,30	1765,60	1647,50	1720,10	2003,60	
Netherlands	15652,00	16820,00	18606,00	20499,00	21350,00	20361,00	20347,00	22744,00	23718,00	25446,00	26578,00	26207,00	25714,00	24158,00	23692,00	23144,00	23454,00	
Austria	5725,90	5585,70	5207,80	5832,60	5646,30	5688,00	7413,20	7587,70	8327,40	9392,00	9587,80	9475,70	9243,30	9189,60	9701,60	9727,30	10054,50	
Portugal	5903,70	5916,70	6833,70	6568,60	6392,50	6755,10	6468,00	5579,70	5644,70	6650,70	7205,50	9478,70	6139,50	4158,30	3701,10	3525,30	3856,90	
Finland	4965,00	4807,00	4909,00	5461,00	5830,00	6196,00	6006,00	5837,00	6476,00	6958,00	7158,00	6864,00	7478,00	8073,00	8440,00	8468,00	8325,00	
Belgium	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Germany (until 1990 former territory of the FRG)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Ireland	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Greece	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Spain	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
France	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Italy	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Luxembourg	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Netherlands	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Austria	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Portugal	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Finland	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	
Belgium	-1345,10	-186,30	457,40	124,60	-4977,40	-472,90	-8012,00	697,00	211,60	-3926,80	-18796,20	-14499,50	-15578,30	-16305,10	-11897,50	-12324,50	-10658,90	
Germany (until 1990 former territory of the FRG)	-35066,00	18179,00	-67828,00	-87139,00	-92702,00	-84939,00	-78619,00	-41200,00	4706,00	-4531,00	-79590,00	-108904,00	-25863,00	-2740,00	-3825,00	8352,00	21204,00	
Ireland	2239,50	5274,70	1182,80	-435,60	616,50	2081,20	2737,00	5198,80	538,90	-13098,60	-23440,20	-53677,20	-21841,40	-14013,70	-10193,20	-7195,30	-4936,00	
Greece	-8107,70	-5809,20	-8319,00	-9847,00	-14009,00	-17101,00	-12329,00	-12954,00	-15607,00	-24606,00	-35990,00	-25333,00	-21205,00	-16870,00	-23503,00	-6476,00	-12757,00	
Spain	-7861,00	-6608,00	-3839,00	-3106,00	-2960,00	-364,00	11229,00	22144,00	21620,00	-49385,00	-118237,00	-101445,00	-102908,00	-108903,00	-71241,00	-61319,00	-54965,00	
France	-22225,50	-19583,60	-22189,00	-49226,00	-63195,90	-59687,70	-56089,20	-43400,30	-49491,70	-63532,90	-138878,00	-135795,00	-104961,00	-100448,00	-85376,00	-84846,00	-77427,00	
Italy	-21147,00	-16404,00	-44074,00	-41358,00	-47473,00	-51662,00	-62172,00	-55549,00	-24571,00	-43936,00	-82881,00	-68121,00	-56954,00	-47538,00	-46959,00	-48936,00	-42388,00	
Luxembourg	726,20	1359,00	1404,80	612,50	48,70	-358,40	23,30	654,50	1543,40	1265,80	-249,50	-264,50	221,40	115,00	363,30	834,30	647,80	
Netherlands	1353,00	8420,00	-1660,00	-10283,00	-15283,00	-9026,00	-1397,00	1219,00	1298,00	1430,00	-33538,00	-31522,00	-27572,00	-25064,00	-15537,00	-15618,00	-12433,00	
Austria	-5282,50	-4367,50	-1356,30	-3043,40	-4078,70	-11534,50	-6351,40	-6658,40	-3717,10	-4228,60	-15217,70	-13104,40	-7892,80	-6879,00	-4235,50	-8899,80	-3884,70	
Portugal	-3625,80	-4130,10	-6504,00	-4764,30	-6462,50	-9438,70	-9826,60	-7194,50	-5279,40	-6735,70	-17203,60	-20100,20	-13006,10	-9529,10	-8245,20	-12446,20	-7893,00	
Finland	2137,00	9341,00	7197,00	6037,00	3701,00	3502,00	4263,00	6786,00	9577,00	8098,00	-4577,00	-4883,00	-2056,00	-4362,00	-5315,00	-6546,00	-5696,00	
